#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:46:44      3  4121     5     0     0     0     0
 20221031   10:46:49      0  4121     5     0     0     0     0
 20221031   10:46:49      1  4121     5   100     0     0     0
 20221031   10:46:49      2  4121     5   100     0     0     0
 20221031   10:46:49      3  4121     5   100     0     0     0
 20221031   10:46:54      0  4121     5    93    57     0     0
 20221031   10:46:54      1  4121     5    92    56     0     0
 20221031   10:46:54      2  4121     5    92    59     0     0
 20221031   10:46:54      3  4121     5    92    65     0     0
 20221031   10:46:59      0  4121     5    90    73     0     0
 20221031   10:46:59      1  4121     5    93    73     0     0
 20221031   10:46:59      2  4121     5    93    74     0     0
 20221031   10:46:59      3  4121     5    92    72     0     0
 20221031   10:47:04      0  4121     5    92    72     0     0
 20221031   10:47:04      1  4121     5    92    72     0     0
 20221031   10:47:04      2  4121     5    92    73     0     0
 20221031   10:47:04      3  4121     5    87    66     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:47:09      0  4121     5    91    73     0     0
 20221031   10:47:09      1  4121     5    93    72     0     0
 20221031   10:47:09      2  4121     5    92    71     0     0
 20221031   10:47:09      3  4121     5    92    76     0     0
 20221031   10:47:14      0  4121     5    86    66     0     0
 20221031   10:47:14      1  4121     5    92    73     0     0
 20221031   10:47:14      2  4121     5    91    71     0     0
 20221031   10:47:14      3  4121     5    93    73     0     0
 20221031   10:47:19      0  4121     5    90    73     0     0
 20221031   10:47:19      1  4121     5    93    74     0     0
 20221031   10:47:19      2  4121     5    93    74     0     0
 20221031   10:47:19      3  4121     5    93    73     0     0
 20221031   10:47:24      0  4121     5    92    72     0     0
 20221031   10:47:24      1  4121     5    91    72     0     0
 20221031   10:47:24      2  4121     5    90    71     0     0
 20221031   10:47:24      3  4121     5    93    73     0     0
 20221031   10:47:29      0  4121     5    92    73     0     0
 20221031   10:47:29      1  4121     5    92    71     0     0
 20221031   10:47:29      2  4121     5    92    72     0     0
 20221031   10:47:29      3  4121     5    91    71     0     0
 20221031   10:47:34      0  4121     5    24    14     0     0
 20221031   10:47:34      1  4121     5    92     0     0     0
 20221031   10:47:34      2  4121     5    92     0     0     0
 20221031   10:47:34      3  4121     5   100     0     0     0
 20221031   10:47:39      0  4121     5     0     0     0     0
 20221031   10:47:39      1  4121     5     3     0     0     0
 20221031   10:47:39      2  4121     5   100    21     0     0
 20221031   10:47:39      3  4121     5    97    33     0     0
 20221031   10:47:44      0  4121     5     0     0     0     0
 20221031   10:47:44      1  4121     5   100     0     0     0
 20221031   10:47:44      2  4121     5   100     0     0     0
 20221031   10:47:44      3  4121     5   100     0     0     0
 20221031   10:47:49      0  4121     5    86    70     0     0
 20221031   10:47:49      1  4121     5    93    67     0     0
 20221031   10:47:49      2  4121     5    91    69     0     0
 20221031   10:47:49      3  4121     5    92    68     0     0
 20221031   10:47:54      0  4121     5    93    73     0     0
 20221031   10:47:54      1  4121     5    89    72     0     0
 20221031   10:47:54      2  4121     5    93    72     0     0
 20221031   10:47:54      3  4121     5    93    67     0     0
 20221031   10:47:59      0  4121     5    92    71     0     0
 20221031   10:47:59      1  4121     5    91    71     0     0
 20221031   10:47:59      2  4121     5    90    70     0     0
 20221031   10:47:59      3  4121     5    92    70     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:48:04      0  4121     5    92    71     0     0
 20221031   10:48:04      1  4121     5    87    67     0     0
 20221031   10:48:04      2  4121     5    91    71     0     0
 20221031   10:48:04      3  4121     5    93    72     0     0
 20221031   10:48:09      0  4121     5    92    71     0     0
 20221031   10:48:09      1  4121     5    93    71     0     0
 20221031   10:48:09      2  4121     5    93    74     0     0
 20221031   10:48:09      3  4121     5    93    73     0     0
 20221031   10:48:14      0  4121     5    92    72     0     0
 20221031   10:48:14      1  4121     5    93    70     0     0
 20221031   10:48:14      2  4121     5    93    70     0     0
 20221031   10:48:14      3  4121     5    88    66     0     0
 20221031   10:48:19      0  4121     5    92    73     0     0
 20221031   10:48:19      1  4121     5    93    72     0     0
 20221031   10:48:19      2  4121     5    93    72     0     0
 20221031   10:48:19      3  4121     5    92    72     0     0
 20221031   10:48:24      0  4121     5    57    54     0     0
 20221031   10:48:24      1  4121     5    30    29     0     0
 20221031   10:48:24      2  4121     5    23    22     0     0
 20221031   10:48:24      3  4121     5     0     0     0     0
 20221031   10:48:29      0  4121     5    13     0     0     0
 20221031   10:48:29      1  4121     5   100     0     0     0
 20221031   10:48:29      2  4121     5   100     0     0     0
 20221031   10:48:29      3  4121     5   100     0     0     0
 20221031   10:48:34      0  4121     5     0     0     0     0
 20221031   10:48:34      1  4121     5   100     0     0     0
 20221031   10:48:34      2  4121     5   100     0     0     0
 20221031   10:48:34      3  4121     5   100     0     0     0
 20221031   10:48:39      0  4121     5     0     0     0     0
 20221031   10:48:39      1  4121     5   100     0     0     0
 20221031   10:48:39      2  4121     5   100     0     0     0
 20221031   10:48:39      3  4121     5   100     0     0     0
 20221031   10:48:45      0  4121     5    92    71     0     0
 20221031   10:48:45      1  4121     5    88    66     0     0
 20221031   10:48:45      2  4121     5    93    72     0     0
 20221031   10:48:45      3  4121     5    90    71     0     0
 20221031   10:48:50      0  4121     5    90    67     0     0
 20221031   10:48:50      1  4121     5    93    64     0     0
 20221031   10:48:50      2  4121     5    93    74     0     0
 20221031   10:48:50      3  4121     5    93    65     0     0
 20221031   10:48:55      0  4121     5    92    70     0     0
 20221031   10:48:55      1  4121     5    92    74     0     0
 20221031   10:48:55      2  4121     5    89    68     0     0
 20221031   10:48:55      3  4121     5    92    72     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:49:00      0  4121     5    91    72     0     0
 20221031   10:49:00      1  4121     5    90    71     0     0
 20221031   10:49:00      2  4121     5    93    71     0     0
 20221031   10:49:00      3  4121     5    89    67     0     0
 20221031   10:49:05      0  4121     5    92    74     0     0
 20221031   10:49:05      1  4121     5    93    73     0     0
 20221031   10:49:05      2  4121     5    93    73     0     0
 20221031   10:49:05      3  4121     5    93    72     0     0
 20221031   10:49:10      0  4121     5    92    72     0     0
 20221031   10:49:10      1  4121     5    90    69     0     0
 20221031   10:49:10      2  4121     5    93    73     0     0
 20221031   10:49:10      3  4121     5    91    70     0     0
 20221031   10:49:15      0  4121     5    92    72     0     0
 20221031   10:49:15      1  4121     5    93    71     0     0
 20221031   10:49:15      2  4121     5    93    70     0     0
 20221031   10:49:15      3  4121     5    87    65     0     0
 20221031   10:49:20      0  4121     5     0     0     0     0
 20221031   10:49:20      1  4121     5     0     0     0     0
 20221031   10:49:20      2  4121     5     0     0     0     0
 20221031   10:49:20      3  4121     5     0     0     0     0
 20221031   10:49:25      0  4121     5    13     0     0     0
 20221031   10:49:25      1  4121     5   100     0     0     0
 20221031   10:49:25      2  4121     5   100     0     0     0
 20221031   10:49:25      3  4121     5   100     0     0     0
 20221031   10:49:30      0  4121     5     0     0     0     0
 20221031   10:49:30      1  4121     5   100     0     0     0
 20221031   10:49:30      2  4121     5   100     0     0     0
 20221031   10:49:30      3  4121     5   100     0     0     0
 20221031   10:49:35      0  4121     5     0     0     0     0
 20221031   10:49:35      1  4121     5   100     0     0     0
 20221031   10:49:35      2  4121     5   100     0     0     0
 20221031   10:49:35      3  4121     5   100     0     0     0
 20221031   10:49:40      0  4121     5    91    70     0     0
 20221031   10:49:40      1  4121     5    93    69     0     0
 20221031   10:49:40      2  4121     5    91    75     0     0
 20221031   10:49:40      3  4121     5    90    68     0     0
 20221031   10:49:45      0  4121     5    91    71     0     0
 20221031   10:49:45      1  4121     5    91    60     0     0
 20221031   10:49:45      2  4121     5    93    72     0     0
 20221031   10:49:45      3  4121     5    93    64     0     0
 20221031   10:49:50      0  4121     5    91    71     0     0
 20221031   10:49:50      1  4121     5    90    74     0     0
 20221031   10:49:50      2  4121     5    91    68     0     0
 20221031   10:49:50      3  4121     5    93    72     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:49:55      0  4121     5    91    70     0     0
 20221031   10:49:55      1  4121     5    90    68     0     0
 20221031   10:49:55      2  4121     5    92    72     0     0
 20221031   10:49:55      3  4121     5    92    72     0     0
 20221031   10:50:00      0  4121     5    92    73     0     0
 20221031   10:50:00      1  4121     5    93    71     0     0
 20221031   10:50:00      2  4121     5    93    71     0     0
 20221031   10:50:00      3  4121     5    93    72     0     0
 20221031   10:50:05      0  4121     5    92    73     0     0
 20221031   10:50:05      1  4121     5    93    71     0     0
 20221031   10:50:05      2  4121     5    93    71     0     0
 20221031   10:50:05      3  4121     5    93    73     0     0
 20221031   10:50:10      0  4121     5    92    72     0     0
 20221031   10:50:10      1  4121     5    93    70     0     0
 20221031   10:50:10      2  4121     5    91    70     0     0
 20221031   10:50:10      3  4121     5    88    65     0     0
 20221031   10:50:15      0  4121     5     0     0     0     0
 20221031   10:50:15      1  4121     5     0     0     0     0
 20221031   10:50:15      2  4121     5     0     0     0     0
 20221031   10:50:15      3  4121     5     0     0     0     0
 20221031   10:50:20      0  4121     5     8     0     0     0
 20221031   10:50:20      1  4121     5   100     0     0     0
 20221031   10:50:20      2  4121     5   100     0     0     0
 20221031   10:50:20      3  4121     5   100     0     0     0
 20221031   10:50:25      0  4121     5     0     0     0     0
 20221031   10:50:25      1  1101     5   100     0     0     0
 20221031   10:50:25      2  1101     5   100     0     0     0
 20221031   10:50:25      3  1101     5   100     0     0     0
 20221031   10:50:30      0  4121     5    20     1     0     0
 20221031   10:50:30      1  1101     5   100     0     0     0
 20221031   10:50:30      2  1101     5   100     0     0     0
